DATE,TIME,DISTANCE,PACE
7/26/22,00:23:07,2.07,00:11:10
7/28/22,00:48:26,4.13,00:11:43
8/2/22,00:50:01,4.2,00:11:54
8/28/22,00:12:10,1.02,00:11:52
8/28/22,00:13:38,1.16,00:11:45
12/28/22,00:05:17,0.32,00:16:21
12/28/22,00:20:37,2.01,00:10:15
12/29/22,00:22:41,2.01,00:11:17
1/2/23,00:11:12,1.05,00:10:38
1/3/23,00:15:51,1.52,00:10:23
2/5/23,00:32:07,3.01,00:10:39
2/11/23,00:15:51,1.53,00:10:18
2/12/23,00:44:25,4,00:11:05
2/19/23,00:40:32,3.51,00:11:32
2/22/23,00:26:33,2.51,00:10:33
2/23/23,00:17:55,1.71,00:10:26
2/25/23,00:45:05,4,00:11:16
2/27/23,00:43:52,4,00:10:57
3/7/23,00:39:27,3.5,00:11:15
3/8/23,00:18:47,1.75,00:10:42
3/10/23,00:28:22,2.67,00:10:37
3/20/23,00:38:10,3.62,00:10:32
4/11/23,00:35:17,3.01,00:11:43
4/21/23,00:32:02,3,00:10:40
4/24/23,00:34:57,3,00:11:38
4/26/23,00:41:05,3.55,00:11:34
4/27/23,00:34:16,3.01,00:11:21
4/28/23,00:46:33,4.05,00:11:30
4/30/23,01:03:21,6.01,00:10:32
5/2/23,00:33:39,3.22,00:10:27
5/10/23,00:34:07,3.02,00:11:18
5/13/23,00:29:00,2.52,00:11:30
5/14/23,00:20:25,2.05,00:09:55
5/17/23,00:48:43,4.59,00:10:36
5/18/23,00:31:31,3.03,00:10:24
6/19/23,00:34:52,3.12,00:11:09
11/6/23,00:30:16,3.04,00:09:57
11/8/23,00:11:33,1.04,00:11:04
11/29/23,00:21:12,2.04,00:10:23
11/29/23,00:08:19,0.79,00:10:26
12/6/23,00:32:30,3.02,00:10:45
12/7/23,00:21:57,2.09,00:10:30
12/8/23,00:32:00,2.96,00:10:47
12/9/23,00:30:41,3.02,00:10:09
12/10/23,00:31:36,3.03,00:10:25
12/18/23,00:32:43,3.03,00:10:46
1/26/24,00:34:57,3.42,00:10:13
1/27/24,00:10:49,1.02,00:10:34
1/28/24,00:30:48,3,00:10:15
1/30/24,00:30:40,3,00:10:12
2/2/24,00:29:48,3,00:09:56
2/7/24,00:09:30,1.02,00:09:19
2/13/24,00:20:30,1.98,00:10:21
2/25/24,01:00:00,6,00:10:08
3/1/24,00:43:56,4.27,00:10:16
3/2/24,00:19:47,2.01,00:09:51
3/4/24,01:28:00,8,00:11:05
3/5/24,01:05:00,6.03,00:10:52
3/15/24,01:01:00,6,00:10:12
3/19/24,01:15:00,7.02,00:10:47
5/27/24,00:22:30,2.33,00:09:39
6/13/24,00:30:54,3.04,00:10:08
6/27/24,00:09:34,1,00:09:36
7/19/24,00:11:37,1.11,00:10:26
8/5/24,00:34:09,3.23,00:10:34
